Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Seeking initial Contact,00001939,00001852,00000087,00000000,32.7561759949,1468387165099 
Seeking initial Contact,00001964,00001852,00000112,00000000,32.7721519470,1468387165105 
Seeking initial Contact,00002014,00001852,00000162,00000000,32.7862396240,1468387165111 
Seeking initial Contact,00002016,00001852,00000164,00000000,32.8000297546,1468387165116 
Seeking initial Contact,00002009,00001852,00000157,00000000,32.8138237000,1468387165122 
Seeking initial Contact,00001989,00001852,00000137,00000000,32.8279113770,1468387165128 
Seeking initial Contact,00001989,00001852,00000137,00000000,32.8433914185,1468387165134 
Seeking initial Contact,00001962,00001852,00000110,00000000,32.8572807312,1468387165139 
Seeking initial Contact,00001974,00001852,00000122,00000000,32.8717651367,1468387165145 
Seeking initial Contact,00002027,00001852,00000175,00000000,32.8865509033,1468387165151 
Seeking initial Contact,00002040,00001852,00000188,00000000,32.9008369446,1468387165157 
Seeking initial Contact,00002040,00001852,00000188,00000000,32.9170112610,1468387165164 
Seeking initial Contact,00002001,00001852,00000149,00000000,32.9309997559,1468387165169 
Seeking initial Contact,00001992,00001852,00000140,00000000,32.9449920654,1468387165175 
Seeking initial Contact,00001997,00001852,00000145,00000000,32.9588813782,1468387165181 
Seeking initial Contact,00001997,00001852,00000145,00000000,32.9725723267,1468387165186 
Seeking initial Contact,00002027,00001852,00000175,00000000,32.9864654541,1468387165192 
Seeking initial Contact,00002031,00001852,00000179,00000000,32.9998588562,1468387165197 
Seeking initial Contact,00002063,00001852,00000211,00000000,33.0140457153,1468387165203 
Seeking initial Contact,00002065,00001852,00000213,00000000,33.0281372070,1468387165209 
Seeking initial Contact,00002083,00001852,00000231,00000000,33.0434150696,1468387165215 
Seeking initial Contact,00002060,00001852,00000208,00000000,33.0574035645,1468387165220 
Seeking initial Contact,00002074,00001852,00000222,00000000,33.0712966919,1468387165226 
Seeking initial Contact,00002061,00001852,00000209,00000000,33.0850868225,1468387165232 
Seeking initial Contact,00002063,00001852,00000211,00000000,33.0989761353,1468387165238 
Seeking initial Contact,00002078,00001852,00000226,00000000,33.1142578125,1468387165244 
Seeking initial Contact,00002093,00001852,00000241,00000000,33.1290397644,1468387165250 
Seeking initial Contact,00002129,00001852,00000277,00000000,33.1433296204,1468387165255 
Retracting to retract distance,00002129,00001852,00000277,00000000,33.1517639160,1468387165272 
Retracting to retract distance,00002104,00001852,00000252,00000000,33.1493797302,1468387165281 
Retracting to retract distance,00002091,00001852,00000239,00000000,33.1445198059,1468387165290 
Retracting to retract distance,00002087,00001852,00000235,00000000,33.1378707886,1468387165299 
Retracting to retract distance,00002089,00001852,00000237,00000000,33.1283454895,1468387165308 
Retracting to retract distance,00002064,00001852,00000212,00000000,33.1161422729,1468387165318 
Retracting to retract distance,00002063,00001852,00000211,00000000,33.1023521423,1468387165326 
Retracting to retract distance,00002040,00001852,00000188,00000000,33.0865745544,1468387165335 
Retracting to retract distance,00002060,00001852,00000208,00000000,33.0671272278,1468387165345 
Retracting to retract distance,00002001,00001852,00000149,00000000,33.0480766296,1468387165354 
Retracting to retract distance,00002035,00001852,00000183,00000000,33.0291290283,1468387165363 
Retracting to retract distance,00001996,00001852,00000144,00000000,33.0106735229,1468387165372 
Retracting to retract distance,00002016,00001852,00000164,00000000,32.9905319214,1468387165381 
Retracting to retract distance,00001974,00001852,00000122,00000000,32.9726715088,1468387165390 
Retracting to retract distance,00001969,00001852,00000117,00000000,32.9546127319,1468387165399 
Retracting to retract distance,00002008,00001852,00000156,00000000,32.9364585876,1468387165409 
Retracting to retract distance,00001950,00001852,00000098,00000000,32.9171104431,1468387165417 
Retracting to retract distance,00001986,00001852,00000134,00000000,32.8983573914,1468387165426 
Retracting to retract distance,00001929,00001852,00000077,00000000,32.8801002502,1468387165435 
Retracting to retract distance,00002012,00001852,00000160,00000000,32.8600578308,1468387165445 
Retracting to retract distance,00001925,00001852,00000073,00000000,32.8414039612,1468387165454 
Retracting to retract distance,00001996,00001852,00000144,00000000,32.8229522705,1468387165463 
Retracting to retract distance,00001904,00001852,00000052,00000000,32.8037033081,1468387165473 
Retracting to retract distance,00001979,00001852,00000127,00000000,32.7855453491,1468387165481 
Retracting to retract distance,00001886,00001852,00000034,00000000,32.7668914795,1468387165490 
Retracting to retract distance,00001962,00001852,00000110,00000000,32.7487373352,1468387165500 
Retracting to retract distance,00001883,00001852,00000031,00000000,32.7285957336,1468387165509 
